time,file,replicate,Nsurv,unit_ai,M_number,Mixture_abcSorted,formulation,spiroxamine,prothioconazole,tebuconazole,trifloxystrobin,bixafen,fluopyram,Psurv
0,1,r_f1_3,20,μg/L,M-006243-01-1,spiroxamine,1000,978,0,0,0,0,0,1
4,1,r_f1_3,20,μg/L,M-006243-01-1,spiroxamine,1000,978,0,0,0,0,0,1
24,1,r_f1_3,20,μg/L,M-006243-01-1,spiroxamine,1000,978,0,0,0,0,0,1
48,1,r_f1_3,20,μg/L,M-006243-01-1,spiroxamine,1000,978,0,0,0,0,0,1
72,1,r_f1_3,20,μg/L,M-006243-01-1,spiroxamine,1000,978,0,0,0,0,0,1
96,1,r_f1_3,20,μg/L,M-006243-01-1,spiroxamine,1000,978,0,0,0,0,0,1
0,1,r_f1_6,20,μg/L,M-006243-01-1,spiroxamine,5620,5500,0,0,0,0,0,1
4,1,r_f1_6,20,μg/L,M-006243-01-1,spiroxamine,5620,5500,0,0,0,0,0,1
24,1,r_f1_6,20,μg/L,M-006243-01-1,spiroxamine,5620,5500,0,0,0,0,0,1
48,1,r_f1_6,20,μg/L,M-006243-01-1,spiroxamine,5620,5500,0,0,0,0,0,1
72,1,r_f1_6,20,μg/L,M-006243-01-1,spiroxamine,5620,5500,0,0,0,0,0,1
96,1,r_f1_6,20,μg/L,M-006243-01-1,spiroxamine,5620,5500,0,0,0,0,0,1
0,1,r_f1_8,20,μg/L,M-006243-01-1,spiroxamine,17800,17400,0,0,0,0,0,1
4,1,r_f1_8,18,μg/L,M-006243-01-1,spiroxamine,17800,17400,0,0,0,0,0,0.9
24,1,r_f1_8,11,μg/L,M-006243-01-1,spiroxamine,17800,17400,0,0,0,0,0,0.55
48,1,r_f1_8,11,μg/L,M-006243-01-1,spiroxamine,17800,17400,0,0,0,0,0,0.55
72,1,r_f1_8,11,μg/L,M-006243-01-1,spiroxamine,17800,17400,0,0,0,0,0,0.55
96,1,r_f1_8,11,μg/L,M-006243-01-1,spiroxamine,17800,17400,0,0,0,0,0,0.55
0,1,r_f1_5,20,μg/L,M-006243-01-1,spiroxamine,3160,3090,0,0,0,0,0,1
4,1,r_f1_5,20,μg/L,M-006243-01-1,spiroxamine,3160,3090,0,0,0,0,0,1
24,1,r_f1_5,20,μg/L,M-006243-01-1,spiroxamine,3160,3090,0,0,0,0,0,1
48,1,r_f1_5,20,μg/L,M-006243-01-1,spiroxamine,3160,3090,0,0,0,0,0,1
72,1,r_f1_5,20,μg/L,M-006243-01-1,spiroxamine,3160,3090,0,0,0,0,0,1
96,1,r_f1_5,20,μg/L,M-006243-01-1,spiroxamine,3160,3090,0,0,0,0,0,1
0,1,r_f1_1,20,μg/L,M-006243-01-1,spiroxamine,0,0,0,0,0,0,0,1
4,1,r_f1_1,20,μg/L,M-006243-01-1,spiroxamine,0,0,0,0,0,0,0,1
24,1,r_f1_1,20,μg/L,M-006243-01-1,spiroxamine,0,0,0,0,0,0,0,1
48,1,r_f1_1,20,μg/L,M-006243-01-1,spiroxamine,0,0,0,0,0,0,0,1
