time,file,replicate,Nsurv,unit_ai,M_number,Mixture_abcSorted,formulation,spiromesifen,deltamethrin,triazophos,tralomethrin,flupyradifurone,Psurv
0,1,r_f1_3,20,μg/L,M-016614-01-1,spiromesifen,80,18.6,0,0,0,0,1
4,1,r_f1_3,20,μg/L,M-016614-01-1,spiromesifen,80,18.6,0,0,0,0,1
24,1,r_f1_3,20,μg/L,M-016614-01-1,spiromesifen,80,18.6,0,0,0,0,1
48,1,r_f1_3,20,μg/L,M-016614-01-1,spiromesifen,80,18.6,0,0,0,0,1
72,1,r_f1_3,20,μg/L,M-016614-01-1,spiromesifen,80,18.6,0,0,0,0,1
96,1,r_f1_3,20,μg/L,M-016614-01-1,spiromesifen,80,18.6,0,0,0,0,1
0,1,r_f1_6,20,μg/L,M-016614-01-1,spiromesifen,640,148,0,0,0,0,1
4,1,r_f1_6,20,μg/L,M-016614-01-1,spiromesifen,640,148,0,0,0,0,1
24,1,r_f1_6,20,μg/L,M-016614-01-1,spiromesifen,640,148,0,0,0,0,1
48,1,r_f1_6,19,μg/L,M-016614-01-1,spiromesifen,640,148,0,0,0,0,0.95
72,1,r_f1_6,6,μg/L,M-016614-01-1,spiromesifen,640,148,0,0,0,0,0.3
96,1,r_f1_6,0,μg/L,M-016614-01-1,spiromesifen,640,148,0,0,0,0,0
0,1,r_f1_5,20,μg/L,M-016614-01-1,spiromesifen,320,74.2,0,0,0,0,1
4,1,r_f1_5,20,μg/L,M-016614-01-1,spiromesifen,320,74.2,0,0,0,0,1
24,1,r_f1_5,20,μg/L,M-016614-01-1,spiromesifen,320,74.2,0,0,0,0,1
48,1,r_f1_5,20,μg/L,M-016614-01-1,spiromesifen,320,74.2,0,0,0,0,1
72,1,r_f1_5,20,μg/L,M-016614-01-1,spiromesifen,320,74.2,0,0,0,0,1
96,1,r_f1_5,20,μg/L,M-016614-01-1,spiromesifen,320,74.2,0,0,0,0,1
0,1,r_f1_1,20,μg/L,M-016614-01-1,spiromesifen,0,0,0,0,0,0,1
4,1,r_f1_1,20,μg/L,M-016614-01-1,spiromesifen,0,0,0,0,0,0,1
24,1,r_f1_1,20,μg/L,M-016614-01-1,spiromesifen,0,0,0,0,0,0,1
48,1,r_f1_1,20,μg/L,M-016614-01-1,spiromesifen,0,0,0,0,0,0,1
72,1,r_f1_1,20,μg/L,M-016614-01-1,spiromesifen,0,0,0,0,0,0,1
96,1,r_f1_1,20,μg/L,M-016614-01-1,spiromesifen,0,0,0,0,0,0,1
0,1,r_f1_2,20,μg/L,M-016614-01-1,spiromesifen,40,9.28,0,0,0,0,1
4,1,r_f1_2,20,μg/L,M-016614-01-1,spiromesifen,40,9.28,0,0,0,0,1
24,1,r_f1_2,20,μg/L,M-016614-01-1,spiromesifen,40,9.28,0,0,0,0,1
48,1,r_f1_2,20,μg/L,M-016614-01-1,spiromesifen,40,9.28,0,0,0,0,1
72,1,r_f1_2,20,μg/L,M-016614-01-1,spiromesifen,40,9.28,0,0,0,0,1
96,1,r_f1_2,20,μg/L,M-016614-01-1,spiromesifen,40,9.28,0,0,0,0,1
0,1,r_f1_4,20,μg/L,M-016614-01-1,spiromesifen,160,37.1,0,0,0,0,1
4,1,r_f1_4,20,μg/L,M-016614-01-1,spiromesifen,160,37.1,0,0,0,0,1
24,1,r_f1_4,20,μg/L,M-016614-01-1,spiromesifen,160,37.1,0,0,0,0,1
48,1,r_f1_4,20,μg/L,M-016614-01-1,spiromesifen,160,37.1,0,0,0,0,1
72,1,r_f1_4,20,μg/L,M-016614-01-1,spiromesifen,160,37.1,0,0,0,0,1
96,1,r_f1_4,20,μg/L,M-016614-01-1,spiromesifen,160,37.1,0,0,0,0,1
0,2,r_f2_2,20,μg/L,M-041144-01-1,spiromesifen,0,0,0,0,0,0,1
24,2,r_f2_2,20,μg/L,M-041144-01-1,spiromesifen,0,0,0,0,0,0,1
48,2,r_f2_2,20,μg/L,M-041144-01-1,spiromesifen,0,0,0,0,0,0,1
72,2,r_f2_2,20,μg/L,M-041144-01-1,spiromesifen,0,0,0,0,0,0,1
96,2,r_f2_2,20,μg/L,M-041144-01-1,spiromesifen,0,0,0,0,0,0,1
0,2,r_f2_4,20,μg/L,M-041144-01-1,spiromesifen,8.96,8.64,0,0,0,0,1
24,2,r_f2_4,20,μg/L,M-041144-01-1,spiromesifen,8.96,8.64,0,0,0,0,1
48,2,r_f2_4,20,μg/L,M-041144-01-1,spiromesifen,8.96,8.64,0,0,0,0,1
72,2,r_f2_4,20,μg/L,M-041144-01-1,spiromesifen,8.96,8.64,0,0,0,0,1
96,2,r_f2_4,20,μg/L,M-041144-01-1,spiromesifen,8.96,8.64,0,0,0,0,1
0,2,r_f2_7,20,μg/L,M-041144-01-1,spiromesifen,41.5,40,0,0,0,0,1
24,2,r_f2_7,20,μg/L,M-041144-01-1,spiromesifen,41.5,40,0,0,0,0,1
48,2,r_f2_7,13,μg/L,M-041144-01-1,spiromesifen,41.5,40,0,0,0,0,0.65
72,2,r_f2_7,1,μg/L,M-041144-01-1,spiromesifen,41.5,40,0,0,0,0,0.05
96,2,r_f2_7,0,μg/L,M-041144-01-1,spiromesifen,41.5,40,0,0,0,0,0
0,2,r_f2_5,20,μg/L,M-041144-01-1,spiromesifen,14.9,14.4,0,0,0,0,1
24,2,r_f2_5,20,μg/L,M-041144-01-1,spiromesifen,14.9,14.4,0,0,0,0,1
48,2,r_f2_5,20,μg/L,M-041144-01-1,spiromesifen,14.9,14.4,0,0,0,0,1
72,2,r_f2_5,19,μg/L,M-041144-01-1,spiromesifen,14.9,14.4,0,0,0,0,0.95
96,2,r_f2_5,16,μg/L,M-041144-01-1,spiromesifen,14.9,14.4,0,0,0,0,0.8
0,2,r_f2_1,20,μg/L,M-041144-01-1,spiromesifen,0,0,0,0,0,0,1
24,2,r_f2_1,20,μg/L,M-041144-01-1,spiromesifen,0,0,0,0,0,0,1
48,2,r_f2_1,20,μg/L,M-041144-01-1,spiromesifen,0,0,0,0,0,0,1
72,2,r_f2_1,20,μg/L,M-041144-01-1,spiromesifen,0,0,0,0,0,0,1
96,2,r_f2_1,20,μg/L,M-041144-01-1,spiromesifen,0,0,0,0,0,0,1
0,2,r_f2_6,20,μg/L,M-041144-01-1,spiromesifen,24.9,24,0,0,0,0,1
24,2,r_f2_6,20,μg/L,M-041144-01-1,spiromesifen,24.9,24,0,0,0,0,1
48,2,r_f2_6,20,μg/L,M-041144-01-1,spiromesifen,24.9,24,0,0,0,0,1
72,2,r_f2_6,15,μg/L,M-041144-01-1,spiromesifen,24.9,24,0,0,0,0,0.75
96,2,r_f2_6,4,μg/L,M-041144-01-1,spiromesifen,24.9,24,0,0,0,0,0.2
0,2,r_f2_3,20,μg/L,M-041144-01-1,spiromesifen,5.37,5.18,0,0,0,0,1
24,2,r_f2_3,20,μg/L,M-041144-01-1,spiromesifen,5.37,5.18,0,0,0,0,1
48,2,r_f2_3,20,μg/L,M-041144-01-1,spiromesifen,5.37,5.18,0,0,0,0,1
72,2,r_f2_3,20,μg/L,M-041144-01-1,spiromesifen,5.37,5.18,0,0,0,0,1
96,2,r_f2_3,20,μg/L,M-041144-01-1,spiromesifen,5.37,5.18,0,0,0,0,1
0,3,r_f3_3,10,μg/L,M-083062-01-1,deltamethrin,0.1,0,0.1,0,0,0,1
24,3,r_f3_3,10,μg/L,M-083062-01-1,deltamethrin,0.1,0,0.1,0,0,0,1
48,3,r_f3_3,10,μg/L,M-083062-01-1,deltamethrin,0.1,0,0.1,0,0,0,1
72,3,r_f3_3,10,μg/L,M-083062-01-1,deltamethrin,0.1,0,0.1,0,0,0,1
96,3,r_f3_3,10,μg/L,M-083062-01-1,deltamethrin,0.1,0,0.1,0,0,0,1
0,3,r_f3_8,10,μg/L,M-083062-01-1,deltamethrin,0.428,0,0.42,0,0,0,1
24,3,r_f3_8,9,μg/L,M-083062-01-1,deltamethrin,0.428,0,0.42,0,0,0,0.9
48,3,r_f3_8,7,μg/L,M-083062-01-1,deltamethrin,0.428,0,0.42,0,0,0,0.7
72,3,r_f3_8,5,μg/L,M-083062-01-1,deltamethrin,0.428,0,0.42,0,0,0,0.5
96,3,r_f3_8,5,μg/L,M-083062-01-1,deltamethrin,0.428,0,0.42,0,0,0,0.5
0,3,r_f3_2,10,μg/L,M-083062-01-1,deltamethrin,0,0,0,0,0,0,1
24,3,r_f3_2,10,μg/L,M-083062-01-1,deltamethrin,0,0,0,0,0,0,1
48,3,r_f3_2,10,μg/L,M-083062-01-1,deltamethrin,0,0,0,0,0,0,1
72,3,r_f3_2,10,μg/L,M-083062-01-1,deltamethrin,0,0,0,0,0,0,1
96,3,r_f3_2,10,μg/L,M-083062-01-1,deltamethrin,0,0,0,0,0,0,1
0,3,r_f3_9,10,μg/L,M-083062-01-1,deltamethrin,0.571,0,0.5599999999999999,0,0,0,1
24,3,r_f3_9,10,μg/L,M-083062-01-1,deltamethrin,0.571,0,0.5599999999999999,0,0,0,1
48,3,r_f3_9,6,μg/L,M-083062-01-1,deltamethrin,0.571,0,0.5599999999999999,0,0,0,0.6
72,3,r_f3_9,4,μg/L,M-083062-01-1,deltamethrin,0.571,0,0.5599999999999999,0,0,0,0.4
96,3,r_f3_9,3,μg/L,M-083062-01-1,deltamethrin,0.571,0,0.5599999999999999,0,0,0,0.3
0,3,r_f3_7,10,μg/L,M-083062-01-1,deltamethrin,0.326,0,0.32,0,0,0,1
24,3,r_f3_7,10,μg/L,M-083062-01-1,deltamethrin,0.326,0,0.32,0,0,0,1
48,3,r_f3_7,9,μg/L,M-083062-01-1,deltamethrin,0.326,0,0.32,0,0,0,0.9
72,3,r_f3_7,9,μg/L,M-083062-01-1,deltamethrin,0.326,0,0.32,0,0,0,0.9
96,3,r_f3_7,9,μg/L,M-083062-01-1,deltamethrin,0.326,0,0.32,0,0,0,0.9
0,3,r_f3_10,10,μg/L,M-083062-01-1,deltamethrin,0.7649999999999999,0,0.75,0,0,0,1
24,3,r_f3_10,4,μg/L,M-083062-01-1,deltamethrin,0.7649999999999999,0,0.75,0,0,0,0.4
48,3,r_f3_10,1,μg/L,M-083062-01-1,deltamethrin,0.7649999999999999,0,0.75,0,0,0,0.1
