time,file,replicate,Nsurv,unit_ai,M_number,Mixture_abcSorted,formulation,thiacloprid,imidacloprid,cyfluthrin,clothianidin,beta-cyfluthrin,thiodicarb,Psurv
0,1,r_f1_3,20,μg/L,M-000741-02-1,thiacloprid,5180,5030,0,0,0,0,0,1
4,1,r_f1_3,20,μg/L,M-000741-02-1,thiacloprid,5180,5030,0,0,0,0,0,1
24,1,r_f1_3,20,μg/L,M-000741-02-1,thiacloprid,5180,5030,0,0,0,0,0,1
48,1,r_f1_3,20,μg/L,M-000741-02-1,thiacloprid,5180,5030,0,0,0,0,0,1
72,1,r_f1_3,20,μg/L,M-000741-02-1,thiacloprid,5180,5030,0,0,0,0,0,1
96,1,r_f1_3,20,μg/L,M-000741-02-1,thiacloprid,5180,5030,0,0,0,0,0,1
0,1,r_f1_6,20,μg/L,M-000741-02-1,thiacloprid,24000,23300,0,0,0,0,0,1
4,1,r_f1_6,20,μg/L,M-000741-02-1,thiacloprid,24000,23300,0,0,0,0,0,1
24,1,r_f1_6,20,μg/L,M-000741-02-1,thiacloprid,24000,23300,0,0,0,0,0,1
48,1,r_f1_6,20,μg/L,M-000741-02-1,thiacloprid,24000,23300,0,0,0,0,0,1
72,1,r_f1_6,19,μg/L,M-000741-02-1,thiacloprid,24000,23300,0,0,0,0,0,0.95
96,1,r_f1_6,19,μg/L,M-000741-02-1,thiacloprid,24000,23300,0,0,0,0,0,0.95
0,1,r_f1_5,20,μg/L,M-000741-02-1,thiacloprid,14400,14000,0,0,0,0,0,1
4,1,r_f1_5,20,μg/L,M-000741-02-1,thiacloprid,14400,14000,0,0,0,0,0,1
24,1,r_f1_5,20,μg/L,M-000741-02-1,thiacloprid,14400,14000,0,0,0,0,0,1
48,1,r_f1_5,20,μg/L,M-000741-02-1,thiacloprid,14400,14000,0,0,0,0,0,1
72,1,r_f1_5,20,μg/L,M-000741-02-1,thiacloprid,14400,14000,0,0,0,0,0,1
96,1,r_f1_5,20,μg/L,M-000741-02-1,thiacloprid,14400,14000,0,0,0,0,0,1
0,1,r_f1_1,20,μg/L,M-000741-02-1,thiacloprid,0,0,0,0,0,0,0,1
4,1,r_f1_1,20,μg/L,M-000741-02-1,thiacloprid,0,0,0,0,0,0,0,1
24,1,r_f1_1,20,μg/L,M-000741-02-1,thiacloprid,0,0,0,0,0,0,0,1
48,1,r_f1_1,20,μg/L,M-000741-02-1,thiacloprid,0,0,0,0,0,0,0,1
72,1,r_f1_1,20,μg/L,M-000741-02-1,thiacloprid,0,0,0,0,0,0,0,1
96,1,r_f1_1,20,μg/L,M-000741-02-1,thiacloprid,0,0,0,0,0,0,0,1
0,1,r_f1_7,20,μg/L,M-000741-02-1,thiacloprid,40000,38900,0,0,0,0,0,1
4,1,r_f1_7,20,μg/L,M-000741-02-1,thiacloprid,40000,38900,0,0,0,0,0,1
24,1,r_f1_7,4,μg/L,M-000741-02-1,thiacloprid,40000,38900,0,0,0,0,0,0.2
48,1,r_f1_7,2,μg/L,M-000741-02-1,thiacloprid,40000,38900,0,0,0,0,0,0.1
72,1,r_f1_7,2,μg/L,M-000741-02-1,thiacloprid,40000,38900,0,0,0,0,0,0.1
96,1,r_f1_7,2,μg/L,M-000741-02-1,thiacloprid,40000,38900,0,0,0,0,0,0.1
0,1,r_f1_2,20,μg/L,M-000741-02-1,thiacloprid,0,0,0,0,0,0,0,1
4,1,r_f1_2,20,μg/L,M-000741-02-1,thiacloprid,0,0,0,0,0,0,0,1
24,1,r_f1_2,20,μg/L,M-000741-02-1,thiacloprid,0,0,0,0,0,0,0,1
48,1,r_f1_2,20,μg/L,M-000741-02-1,thiacloprid,0,0,0,0,0,0,0,1
72,1,r_f1_2,20,μg/L,M-000741-02-1,thiacloprid,0,0,0,0,0,0,0,1
96,1,r_f1_2,20,μg/L,M-000741-02-1,thiacloprid,0,0,0,0,0,0,0,1
