time,file,replicate,Nsurv,unit_ai,M_number,Mixture_abcSorted,flufenacet,formulation,diflufenican,metribuzin,flurtamone,aclonifen,Psurv
0,1,r_f1_3,10,μg/L,M-002254-01-1,flufenacet,332,560,0,0,0,0,1
4,1,r_f1_3,10,μg/L,M-002254-01-1,flufenacet,332,560,0,0,0,0,1
24,1,r_f1_3,10,μg/L,M-002254-01-1,flufenacet,332,560,0,0,0,0,1
48,1,r_f1_3,10,μg/L,M-002254-01-1,flufenacet,332,560,0,0,0,0,1
72,1,r_f1_3,10,μg/L,M-002254-01-1,flufenacet,332,560,0,0,0,0,1
96,1,r_f1_3,10,μg/L,M-002254-01-1,flufenacet,332,560,0,0,0,0,1
0,1,r_f1_6,10,μg/L,M-002254-01-1,flufenacet,3550,6000,0,0,0,0,1
4,1,r_f1_6,10,μg/L,M-002254-01-1,flufenacet,3550,6000,0,0,0,0,1
24,1,r_f1_6,10,μg/L,M-002254-01-1,flufenacet,3550,6000,0,0,0,0,1
48,1,r_f1_6,10,μg/L,M-002254-01-1,flufenacet,3550,6000,0,0,0,0,1
72,1,r_f1_6,10,μg/L,M-002254-01-1,flufenacet,3550,6000,0,0,0,0,1
96,1,r_f1_6,9,μg/L,M-002254-01-1,flufenacet,3550,6000,0,0,0,0,0.9
0,1,r_f1_5,10,μg/L,M-002254-01-1,flufenacet,1620,2730,0,0,0,0,1
4,1,r_f1_5,10,μg/L,M-002254-01-1,flufenacet,1620,2730,0,0,0,0,1
24,1,r_f1_5,10,μg/L,M-002254-01-1,flufenacet,1620,2730,0,0,0,0,1
48,1,r_f1_5,10,μg/L,M-002254-01-1,flufenacet,1620,2730,0,0,0,0,1
72,1,r_f1_5,10,μg/L,M-002254-01-1,flufenacet,1620,2730,0,0,0,0,1
96,1,r_f1_5,10,μg/L,M-002254-01-1,flufenacet,1620,2730,0,0,0,0,1
0,1,r_f1_1,10,μg/L,M-002254-01-1,flufenacet,0,0,0,0,0,0,1
4,1,r_f1_1,10,μg/L,M-002254-01-1,flufenacet,0,0,0,0,0,0,1
24,1,r_f1_1,10,μg/L,M-002254-01-1,flufenacet,0,0,0,0,0,0,1
48,1,r_f1_1,10,μg/L,M-002254-01-1,flufenacet,0,0,0,0,0,0,1
72,1,r_f1_1,10,μg/L,M-002254-01-1,flufenacet,0,0,0,0,0,0,1
96,1,r_f1_1,10,μg/L,M-002254-01-1,flufenacet,0,0,0,0,0,0,1
0,1,r_f1_7,10,μg/L,M-002254-01-1,flufenacet,7810,13200,0,0,0,0,1
4,1,r_f1_7,10,μg/L,M-002254-01-1,flufenacet,7810,13200,0,0,0,0,1
24,1,r_f1_7,9,μg/L,M-002254-01-1,flufenacet,7810,13200,0,0,0,0,0.9
